Tinh/Thanh pho,Quan/Huyen,Du an,Đia chi,Vi do,Kinh do,Gia (VND),Dien tich (m2),So phong ngu,So phong ve sinh,So tang,Duong vao,Mat tien,Huong nha,Huong ban cong,Noi that,Phap ly
Hồ Chí Minh,Gò Vấp,,"Phường 11, Gò Vấp, Hồ Chí Minh",10.838642496310795,106.65980256406566,5850000000.0,60,3,3,2,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Gò Vấp,,"Phường 14, Gò Vấp, Hồ Chí Minh",10.848075240242387,106.64232165615307,4990000000.0,60,3,2,1,,,Tây - Nam,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Bình Thạnh,,"Đường Bùi Hữu Nghĩa, Phường 2, Bình Thạnh, Hồ Chí Minh",10.797854,106.6989369,4600000000.0,59,,,,,,,,Cơ bản,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Tân Phú,Celadon City,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",10.8039054870605,106.616683959961,51810000000.0,554,,,1,,16.5,,,Cơ bản,Đang chờ sổ
Hồ Chí Minh,Quận 2,,"Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.76320821223,106.759616867277,16000000000.0,140,4,,3,12.0,8.0,,,,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Quận 7,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.7265381,106.7335818,8500000000.0,80,4,5,3,8.0,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 7,Khu tái định cư Phú Mỹ 2,"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",10.7153304,106.7300276,14500000000.0,90,4,6,3,14.0,,Nam,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Quận 7,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.7265381,106.7335818,4650000000.0,40,2,3,,3.0,,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Nhà Bè,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",10.6784161,106.7533621,7500000000.0,"83,6",4,5,4,8.0,5.0,,,,Sổ đỏ/ Sổ hồng
Hồ Chí Minh,Nhà Bè,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",10.6784161,106.7533621,9200000000.0,80,4,5,3,8.0,,,,Đầy đủ,Sổ hồng
Hồ Chí Minh,Nhà Bè,The Sun Residence,"Dự án The Sun Residence, Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",10.6843194961548,106.749740600586,5700000000.0,50,4,5,3,6.0,4.0,,,,Sổ đỏ/ Sổ hồng.
Hồ Chí Minh,Nhà Bè,Green Riverside,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",10.67823600769043,106.75385284423828,8900000000.0,"82,2",4,6,3,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng
