Tinh/Thanh pho,Quan/Huyen,Du an,Đia chi,Vi do,Kinh do,Dien tich (m2),So phong ngu,So phong ve sinh,So tang,Duong vao,Mat tien,Huong nha,Huong ban cong,Noi that,Phap ly,Khoang cach toi trung tam (Km),Gia (Tỷ VND)
Hồ Chí Minh,Gò Vấp,,"Phường 11, Gò Vấp, Hồ Chí Minh",10.838642,106.659803,60.000000,3.000000,3.000000,2.000000,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,8.278408,5.850000
Hồ Chí Minh,Gò Vấp,,"Phường 14, Gò Vấp, Hồ Chí Minh",10.848075,106.642322,60.000000,3.000000,2.000000,1.000000,,,Tây - Nam,,Đầy đủ,Sổ đỏ/ Sổ hồng,10.246313,4.990000
Hồ Chí Minh,Bình Thạnh,,"Đường Bùi Hữu Nghĩa, Phường 2, Bình Thạnh, Hồ Chí Minh",10.797854,106.698937,59.000000,,,,,,,,Cơ bản,Sổ đỏ/ Sổ hồng,2.444948,4.600000
Hồ Chí Minh,Quận 2,,"Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10.763208,106.759617,140.000000,4.000000,,3.000000,12.000000,8.000000,,,,Sổ đỏ/ Sổ hồng.,6.563614,16.000000
Hồ Chí Minh,Quận 7,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.726538,106.733582,80.000000,4.000000,5.000000,3.000000,8.000000,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,6.516021,8.500000
Hồ Chí Minh,Quận 7,Khu tái định cư Phú Mỹ 2,"Đường Nguyễn Lương Bằng, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",10.715330,106.730028,90.000000,4.000000,6.000000,3.000000,14.000000,,Nam,,,Sổ đỏ/ Sổ hồng,7.409230,14.500000
Hồ Chí Minh,Quận 7,,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",10.726538,106.733582,40.000000,2.000000,3.000000,,3.000000,,,,,Sổ đỏ/ Sổ hồng,6.516021,4.650000
Hồ Chí Minh,Nhà Bè,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",10.678416,106.753362,83.600000,4.000000,5.000000,4.000000,8.000000,5.000000,,,,Sổ đỏ/ Sổ hồng,12.205203,7.500000
Hồ Chí Minh,Nhà Bè,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",10.678416,106.753362,80.000000,4.000000,5.000000,3.000000,8.000000,,,,Đầy đủ,Sổ hồng,12.205203,9.200000
Hồ Chí Minh,Nhà Bè,The Sun Residence,"Dự án The Sun Residence, Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",10.684319,106.749741,50.000000,4.000000,5.000000,3.000000,6.000000,4.000000,,,,Sổ đỏ/ Sổ hồng.,11.442728,5.700000
Hồ Chí Minh,Nhà Bè,Green Riverside,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",10.678236,106.753853,82.200000,4.000000,6.000000,3.000000,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,12.248053,8.900000
Hồ Chí Minh,Bình Tân,,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",10.791669,106.605257,76.000000,5.000000,5.000000,4.000000,7.000000,4.000000,Tây,Tây,Nội thất cao cấp,Sổ đỏ/ Sổ hồng,10.614313,6.000000
Hồ Chí Minh,Bình Chánh,The Meadow Bình Chánh,"Dự án The Meadow Bình Chánh, Đường Trần Văn Giàu, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",10.769905,106.553215,85.000000,,,,,,,,Cơ bản,Sổ đỏ/ Sổ hồng,16.174560,6.900000
Hồ Chí Minh,Quận 8,,"Đường Dạ Nam, Phường 2, Quận 8, Hồ Chí Minh",10.749994,106.683949,30.800000,2.000000,2.000000,1.000000,,,Đông - Bắc,Đông - Bắc,Không nội thất.,Sổ đỏ/ Sổ hồng,3.412555,4.900000
Hồ Chí Minh,Thủ Đức,,"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.863272,106.728131,140.000000,10.000000,12.000000,3.000000,,,Đông - Bắc,,Đầy đủ,Sổ đỏ/ Sổ hồng,10.116276,14.200000
Hồ Chí Minh,Quận 4,,"78/29/23 Đường Khánh Hội, Phường 4, Quận 4, Hồ Chí Minh",10.755836,106.701342,40.000000,5.000000,4.000000,4.000000,2.700000,3.800000,Nam,Nam,Cơ bản,Sổ đỏ/ Sổ hồng,2.213365,5.900000
Hồ Chí Minh,Quận 2,,"Đường Lê Văn Thịnh, Phường Cát Lái, Quận 2, Hồ Chí Minh",10.783395,106.769344,100.000000,9.000000,9.000000,5.000000,6.000000,,Tây - Bắc,Đông,Đầy đủ,Sổ đỏ/ Sổ hồng,7.523287,13.500000
Hồ Chí Minh,Gò Vấp,,"113/, Đường Lê Đức Thọ, Phường 7, Gò Vấp, Hồ Chí Minh",10.831667,106.682513,65.000000,4.000000,5.000000,3.000000,5.000000,,,,Cơ bản.,Sổ đỏ/ Sổ hồng.,6.496732,3.390000
Hồ Chí Minh,Quận 3,,"Hẻm 618, Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",10.786936,106.665673,83.000000,2.000000,2.000000,,3.000000,,Tây,,Cơ bản,Sổ đỏ/ Sổ hồng,4.051812,8.200000
Hồ Chí Minh,Tân Bình,,"Đường Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh",10.792065,106.643437,92.040000,,,,12.000000,,,,,,6.544237,16.800000
Hồ Chí Minh,Quận 9,The Classia,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.800078,106.792168,90.000000,4.000000,5.000000,4.000000,12.000000,5.000000,Đông - Nam,,Không nội thất,Sổ đỏ/ Sổ hồng,10.326647,15.000000
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyên Hồng, Phường 11, Bình Thạnh, Hồ Chí Minh",10.818093,106.693053,40.000000,3.000000,3.000000,4.000000,,4.000000,,,Đầy đủ,Sổ đỏ/ Sổ hồng,4.753188,2.380000
Hồ Chí Minh,Quận 10,,"84/37, Đường Hòa Hưng, Phường 13, Quận 10, Hồ Chí Minh",10.778562,106.672711,40.000000,3.000000,1.000000,2.000000,6.000000,3.600000,Bắc,Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng,3.106422,6.900000
Hồ Chí Minh,Quận 2,The Global City,"Dự án The Global City, Đường Đỗ Xuân Hợp, Phường An Phú, Quận 2, Hồ Chí Minh",10.801913,106.764748,95.000000,4.000000,4.000000,5.000000,14.000000,5.000000,Tây - Bắc,Đông - Nam,Không nội thất,Sổ đỏ/ Sổ hồng,7.546512,31.500000
Hồ Chí Minh,Tân Phú,,"Đường Khuông Việt, Phường Phú Trung, Tân Phú, Hồ Chí Minh",10.775666,106.639137,96.000000,5.000000,6.000000,5.000000,7.000000,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,6.763832,8.450000
Hồ Chí Minh,Quận 9,The Classia,"Dự án The Classia, số nhà 106 Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.800078,106.792168,95.000000,6.000000,6.000000,4.000000,,16.000000,Tây - Bắc,,Đầy đủ.,Sổ đỏ/ Sổ hồng,10.326647,16.960000
Hồ Chí Minh,Quận 10,,"575/47/24, Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.785121,106.667993,39.000000,5.000000,4.000000,4.000000,,,,,,,3.750933,7.200000
Hồ Chí Minh,Quận 9,,"Đường Số 827, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.814131,106.730107,74.000000,3.000000,4.000000,2.000000,5.000000,7.000000,,,Đầy đủ,Sổ đỏ/ Sổ hồng,5.299308,9.800000
Hồ Chí Minh,Thủ Đức,,"Đường 10, QL 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.868815,106.721007,51.940000,3.000000,3.000000,2.000000,,6.000000,Đông - Nam,Đông - Nam,Đầy đủ,Sổ riêng,10.514467,5.000000
Hồ Chí Minh,Phú Nhuận,,"Đường Phan Xích Long, Phường 3, Phú Nhuận, Hồ Chí Minh",10.801073,106.683845,43.000000,3.000000,4.000000,4.000000,4.000000,4.300000,Đông - Nam,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,3.361584,8.600000
Hồ Chí Minh,Quận 9,Verosa Park Khang Điền,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.805992,106.790031,75.000000,4.000000,4.000000,4.000000,20.000000,6.000000,Nam,Nam,,Sổ đỏ/ Sổ hồng.,10.294059,10.190000
Hồ Chí Minh,Quận 2,,"Đường Lương Định Của, Phường An Khánh, Quận 2, Hồ Chí Minh",10.788136,106.732711,76.000000,5.000000,5.000000,5.000000,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,3.727156,18.000000
Hồ Chí Minh,Quận 9,The Classia,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.800078,106.792168,95.000000,4.000000,4.000000,3.000000,,,Đông - Nam,,,Sổ đỏ/ Sổ hồng,10.326647,15.800000
Hồ Chí Minh,Bình Thạnh,,"Đường Nơ Trang Long, Phường 7, Bình Thạnh, Hồ Chí Minh",10.806977,106.695045,40.000000,3.000000,4.000000,4.000000,6.000000,10.000000,Tây - Nam,Tây - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,3.504492,7.900000
Hồ Chí Minh,Tân Bình,,"Đường Phan Sào Nam, Phường 11, Tân Bình, Hồ Chí Minh",10.788894,106.645515,54.600000,2.000000,2.000000,,,,,,Đầy đủ,Sổ đỏ/ Sổ hồng,6.235598,3.490000
Hồ Chí Minh,Quận 9,Khu đô thị mới Đông Tăng Long,"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",10.809153,106.821228,100.000000,4.000000,5.000000,3.000000,12.000000,20.000000,Bắc,Bắc,Cơ bản.,Sổ đỏ/ Sổ hồng,13.657011,6.500000
Hồ Chí Minh,Phú Nhuận,,"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",10.792150,106.677660,29.000000,3.000000,4.000000,4.000000,5.000000,3.500000,Tây - Bắc,Tây - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng,3.123960,7.150000
Hồ Chí Minh,Quận 7,,"Đường Phan Huy Thực, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",10.747446,106.707147,48.000000,3.000000,4.000000,3.000000,14.000000,,Nam,,,Sổ đỏ/ Sổ hồng,3.212637,10.200000
Hồ Chí Minh,Quận 2,,"Phường An Phú, Quận 2, Hồ Chí Minh",10.798809,106.756848,100.000000,,,,,,,,,Sổ đỏ/ Sổ hồng,6.616955,22.000000
Hồ Chí Minh,Thủ Đức,,"155/2, Đường Tô Ngọc Vân, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",10.856078,106.750381,24.000000,,,2.000000,,,,,,,10.389862,4.100000
Hồ Chí Minh,Quận 7,Hưng Thái,"Dự án Hưng Thái 1 & 2, Phường Tân Phong, Quận 7, Hồ Chí Minh",10.734664,106.708549,126.000000,,,3.000000,,,Bắc,,,,4.629548,26.500000
Hồ Chí Minh,Tân Bình,,"Đường Trường Chinh, Phường 15, Tân Bình, Hồ Chí Minh",10.814372,106.632361,50.000000,3.000000,3.000000,3.000000,5.000000,4.500000,Tây - Bắc,,,Sổ đỏ/ Sổ hồng,8.630201,4.950000
Hồ Chí Minh,Quận 7,,"Đường 53, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.740644,106.715121,120.000000,4.000000,4.000000,4.000000,24.000000,4.000000,Bắc,,Cơ bản,Sổ đỏ/ Sổ hồng,4.189382,16.800000
Hồ Chí Minh,Phú Nhuận,,"Đường Lê Văn Sỹ, Phường 13, Phú Nhuận, Hồ Chí Minh",10.790822,106.672934,64.000000,5.000000,6.000000,4.000000,6.000000,4.000000,Đông - Bắc,Đông - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng,3.486239,11.990000
Hồ Chí Minh,Quận 7,,"Đường 18, Phường Tân Phú, Quận 7, Hồ Chí Minh",10.829761,106.730572,60.000000,2.000000,1.000000,1.000000,12.000000,4.000000,Đông - Nam,,Đầy đủ,Sổ đỏ/ Sổ hồng,6.785411,10.900000
Hồ Chí Minh,Quận 9,Khu đô thị mới Đông Tăng Long,"Dự án Khu đô thị mới Đông Tăng Long, Quận 9, Hồ Chí Minh",10.809153,106.821230,100.000000,4.000000,5.000000,3.000000,20.000000,5.000000,Bắc,,,,13.657230,6.500000
Hồ Chí Minh,Quận 2,Gateway Thảo Điền,"Dự án Gateway Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",10.803822,106.746727,150.000000,,,3.000000,30.000000,7.000000,Đông - Nam,Đông - Nam,,Sổ đỏ/ Sổ hồng,5.882818,30.000000
Hồ Chí Minh,Bình Thạnh,,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",10.829975,106.702610,100.000000,10.000000,11.000000,4.000000,7.000000,5.000000,,,Đầy đủ,Sổ đỏ/ Sổ hồng,5.990358,12.800000
Hồ Chí Minh,Gò Vấp,,"Đường Nguyễn Tư Giản, Phường 12, Gò Vấp, Hồ Chí Minh",10.832493,106.638917,72.000000,4.000000,7.000000,5.000000,8.000000,4.000000,,,Đầy đủ.,Sổ đỏ/ Sổ hồng,9.237548,13.500000
Hồ Chí Minh,Phú Nhuận,,"Đường Phan Đình Phùng, Phường 17, Phú Nhuận, Hồ Chí Minh",10.794453,106.683663,30.400000,2.000000,3.000000,4.000000,3.500000,3.200000,Đông - Nam,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,2.797292,5.800000
Hồ Chí Minh,Bình Thạnh,,"Đường Mai Xuân Thưởng, Phường 11, Bình Thạnh, Hồ Chí Minh giá 2tỷ180",10.815464,106.694296,44.900000,4.000000,3.000000,3.000000,6.000000,4.000000,,,,Sổ đỏ/ Sổ hồng,4.443176,2.180000
Hồ Chí Minh,Quận 2,,"Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",10.780852,106.761946,132.500000,,,,30.000000,4.400000,Tây - Nam,Tây - Nam,Không nội thất,Sổ đỏ/ Sổ hồng,6.690644,26.500000
Hồ Chí Minh,Quận 2,,"39, Đường Lê Văn Thịnh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",10.783100,106.769252,40.000000,3.000000,3.000000,3.000000,20.000000,3.210000,,,,,7.509661,10.600000
Hồ Chí Minh,Bình Tân,,"Đường Lê Văn Quới, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",10.776142,106.612311,64.000000,5.000000,5.000000,4.000000,7.000000,7.000000,Tây,Tây,Cơ bản,Sổ đỏ/ Sổ hồng,9.697784,5.200000
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",10.812290,106.685268,50.000000,5.000000,6.000000,4.000000,6.000000,4.000000,Tây - Bắc,Tây - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng,4.382485,9.300000
Hồ Chí Minh,Quận 9,Park Riverside Tân Cảng,"Dự án Park Riverside Tân Cảng, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",10.807087,106.799858,130.000000,4.000000,3.000000,2.000000,20.000000,,Tây - Bắc,Tây - Bắc,,Sổ hồng,11.352399,15.500000
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyên Hồng, Phường 11, Bình Thạnh, Hồ Chí Minh",10.818093,106.693053,56.000000,,,,,,,,,Sổ hồng đầy đủ,4.753188,4.300000
Hồ Chí Minh,Quận 10,,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",10.772200,106.669404,140.100000,4.000000,3.000000,3.000000,,9.000000,,,Cơ bản,Sổ đỏ/ Sổ hồng,3.476987,25.000000
Hồ Chí Minh,Tân Phú,,"Đường Phan Thị Hành, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",10.786437,106.627862,48.000000,,,1.000000,12.000000,,,,,Sổ đỏ/ Sổ hồng,8.082233,7.200000
Hồ Chí Minh,Thủ Đức,Khu đô thị Vạn Phúc City,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",10.844880,106.718201,85.000000,,,5.000000,,5.000000,,,Cơ bản.,Sổ đỏ/ Sổ hồng,7.865177,15.300000
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.830592,106.705546,102.700000,12.000000,12.000000,4.000000,12.000000,5.000000,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.,6.076465,11.900000
Hồ Chí Minh,Quận 3,,"Đường Nguyễn Hiền, Phường 4, Quận 3, Hồ Chí Minh",10.772318,106.680798,82.800000,8.000000,10.000000,3.000000,,,,,Cơ bản,Sổ đỏ/ Sổ hồng,2.241593,24.500000
Hồ Chí Minh,Bình Thạnh,,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",10.829975,106.702610,80.000000,2.000000,3.000000,2.000000,12.000000,4.000000,,,Đầy đủ.,Sổ đỏ/ Sổ hồng.,5.990358,9.500000
Hồ Chí Minh,Bình Thạnh,,"Đường Nguyễn Xí, Phường 13, Bình Thạnh, Hồ Chí Minh",10.820070,106.704027,59.500000,4.000000,5.000000,4.000000,6.000000,4.000000,,,Đầy đủ,Sổ hồng,4.903462,8.500000
Hồ Chí Minh,Bình Thạnh,,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh",10.830592,106.705546,76.000000,4.000000,5.000000,4.000000,12.000000,4.000000,,,Đầy đủ,Sổ đỏ/ Sổ hồng,6.076465,10.000000
Hồ Chí Minh,Quận 10,,"Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",10.773011,106.676396,119.000000,,,,,,,,,,2.706998,17.500000
Hồ Chí Minh,Quận 10,,"Đường Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh",10.772200,106.669404,140.100000,4.000000,3.000000,3.000000,,9.000000,,,Cơ bản,Sổ đỏ/ Sổ hồng,3.476987,25.000000
Hồ Chí Minh,Tân Phú,,"Đường Phan Thị Hành, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",10.786437,106.627862,48.000000,,,1.000000,12.000000,,,,,Sổ đỏ/ Sổ hồng,8.082233,7.200000
